"type","language","filename","graph","reordering","NES","NWES","time","bandwidth","profile","span","avgwavefront","RMSwavefront","reachtime","peaknodes"
performance,"PNML","spec/PNML/RAS-R-100.pnml","total","vgps",,,"0.020",,,,,,"10.330","17425"
performance,"PNML","spec/PNML/parking_8_64.pnml","none","none",,,0,,,,,,"30.630",
performance,"PNML","spec/PNML/2D8_gradient_10x10_10.pnml","total","bk",,,"0.020",,,,,,"3.030","6490"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT4096DC1024.pnml","total","vcm",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/raft_02.pnml","bipartite","bcm",,,"0.000",,,,,,"0.020","514"
statistics,"PNML","spec/PNML/cs_repetitions-4-unfolded.pnml","bipartite","f","0.26564","0.37354","0.010",,,,,,"1129.390","252732"
performance,"PNML","spec/PNML/erk-000010.pnml","total","bk",,,"0.000",,,,,,"0.070","1936"
performance,"PNML","spec/PNML/lamport_fmea-4.pnml","total","vcm",,,"0.000",,,,,,"63.750","153924"
performance,"PNML","spec/PNML/Philosophers-10.pnml","bipartite","bcm",,,"0.000",,,,,,"0.010","297"
performance,"PNML","spec/PNML/CircularTrain-096.pnml","total","bcm",,,"0.010",,,,,,"10.100","74813"
performance,"PNML","spec/PNML/SwimmingPool-3.pnml","total","vgps",,,"0.000",,,,,,"65.980","398009"
performance,"PNML","spec/PNML/MAPK-20.pnml","bipartite","bcm",,,"0.000",,,,,,"0.720","8707"
statistics,"PNML","spec/PNML/FMS-100.pnml","bipartite","bs","0.164","0.193","0.000","11","190","245","3.286","3.374","202.700","264727"
performance,"PNML","spec/PNML/SwimmingPool-1.pnml","total","bs",,,"0.000",,,,,,"0.280","6730"
performance,"PNML","spec/PNML/erk-000010.pnml","none","none",,,0,,,,,,"0.420",
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT8192DC4096.pnml","bipartite","f","0.5","0.77","0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/2D8_gradient_10x10_10.pnml","total","bk","0.098889","0.1173","0.090","290","346727","511075","97.42147","106.1634","2.410","6490"
statistics,"PNML","spec/PNML/EnergyBus.pnml","none","none","0.794487","1.43486",0,"4586","11114204","986907","146.51363","147.9527","386.530","71094"
performance,"PNML","spec/PNML/Kanban-20.pnml","none","none",,,0,,,,,,"13.070",
performance,"PNML","spec/PNML/eratosthenes-100.pnml","bipartite","bcm",,,"0.000",,,,,,"0.040","173"
performance,"PNML","spec/PNML/RAS-C-100.pnml","bipartite","Noack1",,,"0.020",,,,,,"0.680","6241"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0032.pnml","bipartite","bk",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/CircularTrain-096.pnml","bipartite","Noack2",,,"0.010",,,,,,"6.220","22598"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0064.pnml","bipartite","vacm",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/HouseConstruction-010.pnml","bipartite","vacm","0.212","0.258","0.000","7","250","350","4.818","5.201","6.440","157388"
performance,"PNML","spec/PNML/FMS-10.pnml","bipartite","f",,,"0.000",,,,,,"0.070","1526"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT8192DC4096.pnml","bipartite","vgps",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/eratosthenes-500.pnml","none","none",,,0,,,,,,"4.860",
statistics,"PNML","spec/PNML/SwimmingPool-2.pnml","bipartite","bk","0.49","0.75","0.000","5","81","103","3.81","3.98","6.500","21749"
statistics,"PNML","spec/PNML/eratosthenes-200.pnml","bipartite","bcm","0.219049","0.226239","0.020","457","218079","192317","99.0768","107.631","0.320","352"
performance,"PNML","spec/PNML/ring.pnml","bipartite","vacm",,,"0.000",,,,,,"1.470","10981"
performance,"PNML","spec/PNML/IOTP_c3m3p3d3.pnml","bipartite","Noack1",,,"0.000",,,,,,"1.200","10436"
performance,"PNML","spec/PNML/angiogenesis-10.pnml","bipartite","vacm",,,"0.000",,,,,,"271.990","808401"
statistics,"PNML","spec/PNML/MAPK-8.pnml","bipartite","Noack1","0.203","0.239","0.000","46","1652","480","15.62","17.19","0.110","1191"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0016DC0008.pnml","total","bk","0.51","0.78","0.000","15","539","808","9.273","9.895","0.000","9"
statistics,"PNML","spec/PNML/closed_system5.pnml","none","none","0.17301","0.24729",0,"267","99682","11634","122.088","138.487","62.610","103239"
performance,"PNML","spec/PNML/Philosophers-200.pnml","bipartite","Noack1",,,"0.040",,,,,,"2.910","6773"
performance,"PNML","spec/PNML/rwmutex-r10w10.pnml","bipartite","vcm",,,"0.000",,,,,,"0.160","15404"
statistics,"PNML","spec/PNML/angiogenesis-15.pnml","bipartite","bs","0.2957","0.3878","0.000","82","2332","2463","7.233","7.8598","440.130","1172042"
performance,"PNML","spec/PNML/Philosophers-1000.pnml","total","bs",,,"2.310",,,,,,"33.800","33360"
performance,"PNML","spec/PNML/Philosophers-200.pnml","bipartite","f",,,"0.440",,,,,,"4.160","36246"
performance,"PNML","spec/PNML/Philosophers-10.pnml","bipartite","f",,,"0.000",,,,,,"0.000","314"
statistics,"PNML","spec/PNML/dekker-15.pnml","bipartite","bk","0.74552","1.3339","0.010","266","51386","33042","47.0333","50.5876","621.460","1753070"
performance,"PNML","spec/PNML/FMS-50.pnml","bipartite","bcm",,,"0.000",,,,,,"61.340","180188"
performance,"PNML","spec/PNML/Philosophers-10.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.000","313"
statistics,"PNML","spec/PNML/RAS-R-50.pnml","total","vcm","0.031912","0.033202","0.020","14","8123","13400","9.63466","9.7256","1.240","4352"
statistics,"PNML","spec/PNML/parking_8_32.pnml","none","none","0.0790349","0.127948",0,"1729","1569739","322777","398.7711","442.4774","13.090","49806"
performance,"PNML","spec/PNML/Kanban-50.pnml","none","none",,,0,,,,,,"949.960",
performance,"PNML","spec/PNML/FMS-50.pnml","bipartite","bk",,,"0.000",,,,,,"63.630","179994"
performance,"PNML","spec/PNML/CircularTrain-096.pnml","bipartite","vcm",,,"0.000",,,,,,"10.290","74033"
performance,"PNML","spec/PNML/erk-000010.pnml","total","bcm",,,"0.000",,,,,,"0.090","1936"
performance,"PNML","spec/PNML/neoelection-2.unf.pnml","bipartite","vgps",,,"0.020",,,,,,"0.320","1633"
statistics,"PNML","spec/PNML/MAPK-80.pnml","total","bcm","0.315","0.452","0.000","34","3179","4734","14.845","16.421","544.630","376962"
statistics,"PNML","spec/PNML/RAS-C-15.pnml","bipartite","vgps","0.08444","0.09085","0.000","7","943","1290","5.5133","5.5923","0.030","792"
performance,"PNML","spec/PNML/shared_memory-pt-20.pnml","bipartite","vgps",,,"0.050",,,,,,"834.640","2993474"
performance,"PNML","spec/PNML/SafeBus-03-unfolded.pnml","bipartite","Noack2",,,"0.000",,,,,,"0.530","5430"
statistics,"PNML","spec/PNML/unf-8x8-4stageSEN-01.pnml","total","bs","0.35574","0.45657","2.150","3155","3792638","3986841","102.2825","110.43093","35.220","75387"
statistics,"PNML","spec/PNML/parking_4_32.pnml","total","bs","0.0737192","0.087225","0.920","2962","1050546","1114232","94.547949","107.99207","24.890","102502"
performance,"PNML","spec/PNML/open_system_0.pnml","bipartite","vacm",,,"0.010",,,,,,"4.900","17563"
performance,"PNML","spec/PNML/SwimmingPool-2.pnml","total","vcm",,,"0.000",,,,,,"3.880","21749"
statistics,"PNML","spec/PNML/2D8_gradient_30x30_10.pnml","total","bs","0.02865219","0.03047568","108.920","1820","13356953","14274069","136.233016","143.0314","110.140","59290"
performance,"PNML","spec/PNML/closed_system4.pnml","total","bcm",,,"0.000",,,,,,"5.670","26995"
statistics,"PNML","spec/PNML/galloc_res-3.pnml","bipartite","vcm","0.633625","1.09202","3.650","3196","9688041","12927334","1343.3476","1610.1058","1.030","3268"
statistics,"PNML","spec/PNML/SwimmingPool-3.pnml","bipartite","vcm","0.49","0.75","0.000","5","77","92","4","4.24","27.420","66994"
performance,"PNML","spec/PNML/galloc_res-3.pnml","bipartite","vcm",,,"0.050",,,,,,"0.880","3268"
performance,"PNML","spec/PNML/erk-000001.pnml","bipartite","vcm",,,"0.000",,,,,,"0.000","41"
performance,"PNML","spec/PNML/galloc_res-3.pnml","total","bs",,,"66.640",,,,,,"1.020","5048"
performance,"PNML","spec/PNML/RAS-R-100.pnml","total","bcm",,,"0.010",,,,,,"10.380","17775"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT1024DC0512.pnml","none","none",,,0,,,,,,"0.000",
statistics,"PNML","spec/PNML/RAS-R-50.pnml","bipartite","vcm","0.031912","0.033202","0.010","6","1472","2297","4.3411","4.4204","1.190","4352"
statistics,"PNML","spec/PNML/shared_memory-pt-5.pnml","total","bk","0.5131","0.7666","0.010","175","35308","44554","60.677","68.292","0.080","2730"
performance,"PNML","spec/PNML/MAPK-20.pnml","bipartite","bk",,,"0.000",,,,,,"1.090","11292"
performance,"PNML","spec/PNML/closed_system3.pnml","total","vcm",,,"0.010",,,,,,"9.270","31688"
statistics,"PNML","spec/PNML/eratosthenes-100.pnml","bipartite","bcm","0.20077","0.22551","0.000","146","32649","41021","50.6806","62.2415","0.040","173"
performance,"PNML","spec/PNML/UtahNoC.pnml","total","bk",,,"0.030",,,,,,"1500.410","127732"
